id;venta_id_catedra;fecha_venta;precio_venta;resultado;descripcion
1;3441;2025-12-14T02:19:42;25513.08;false;pfft
2;20659;2025-12-14T10:14:24;31240.55;true;because so as
3;9876;2025-12-13T23:56:54;20460.44;false;when because
4;26611;2025-12-14T22:41:50;7286.19;false;brr fabricate stump
5;2170;2025-12-14T20:54:35;8983.87;false;apud underneath
6;3567;2025-12-14T11:43:54;9182.81;false;for unused
7;31833;2025-12-14T22:39:33;29868.77;false;so insecure
8;30052;2025-12-14T09:53:43;9567.58;false;reflate
9;22816;2025-12-14T12:29:14;14591.33;false;within steep
10;19891;2025-12-14T04:58:04;28192.49;false;if huzzah
